title,author,length
,Rebecca Yarros,Length: 23 hrs and 52 mins
,Simon Squibb,Length: 7 hrs and 56 mins
,A. P. J. Kalam,Length: 5 hrs and 37 mins
,James Clear,Length: 8 hrs and 9 mins
,Dale Carnegie,Length: 6 hrs and 39 mins
,Mohandas K. Gandhi,Length: 19 hrs and 11 mins
,Ajay K. Pandey,Length: 7 hrs and 29 mins
,Bhagat Singh,Length: 3 hrs
,Munshi Premchand,Length: 7 hrs and 44 mins
,Virender Kapoor,Length: 38 mins
,Ruskin Bond,Length: 51 mins
,Premchand,Length: 15 hrs and 28 mins
,Robert Kiyosaki,Length: 11 hrs and 5 mins
,"TheFirstDefier,JF Brink",Length: 21 hrs and 54 mins
,Robert Greene,Length: 22 hrs and 51 mins
,Goswami Tulsidas,Length: 3 hrs and 23 mins
,Marc Reklau,Length: 4 hrs and 12 mins
,Devdutt Pattanaik,Length: 7 hrs and 39 mins
,TurtleMe,Length: 27 hrs and 38 mins
,Jim Kwik,Length: 12 hrs and 7 mins
